playlist_name,mbti,transfer_emb_0,transfer_emb_1,transfer_emb_2,transfer_emb_3,transfer_emb_4,transfer_emb_5,transfer_emb_6,transfer_emb_7,transfer_emb_8,transfer_emb_9,transfer_emb_10,transfer_emb_11,transfer_emb_12,transfer_emb_13,transfer_emb_14,transfer_emb_15,transfer_emb_16,transfer_emb_17,transfer_emb_18,transfer_emb_19,transfer_emb_20,transfer_emb_21,transfer_emb_22,transfer_emb_23,transfer_emb_24,transfer_emb_25,transfer_emb_26,transfer_emb_27,transfer_emb_28,transfer_emb_29,transfer_emb_30,transfer_emb_31,transfer_emb_32,transfer_emb_33,transfer_emb_34,transfer_emb_35,transfer_emb_36,transfer_emb_37,transfer_emb_38,transfer_emb_39,transfer_emb_40,transfer_emb_41,transfer_emb_42,transfer_emb_43,transfer_emb_44,transfer_emb_45,transfer_emb_46,transfer_emb_47,transfer_emb_48,transfer_emb_49,transfer_emb_50,transfer_emb_51,transfer_emb_52,transfer_emb_53,transfer_emb_54,transfer_emb_55,transfer_emb_56,transfer_emb_57,transfer_emb_58,transfer_emb_59,transfer_emb_60,transfer_emb_61,transfer_emb_62,transfer_emb_63,transfer_emb_64,transfer_emb_65,transfer_emb_66,transfer_emb_67,transfer_emb_68,transfer_emb_69,transfer_emb_70,transfer_emb_71,transfer_emb_72,transfer_emb_73,transfer_emb_74,transfer_emb_75,transfer_emb_76,transfer_emb_77,transfer_emb_78,transfer_emb_79,transfer_emb_80,transfer_emb_81,transfer_emb_82,transfer_emb_83,transfer_emb_84,transfer_emb_85,transfer_emb_86,transfer_emb_87,transfer_emb_88,transfer_emb_89,transfer_emb_90,transfer_emb_91,transfer_emb_92,transfer_emb_93,transfer_emb_94,transfer_emb_95,transfer_emb_96,transfer_emb_97,transfer_emb_98,transfer_emb_99,transfer_emb_100,transfer_emb_101,transfer_emb_102,transfer_emb_103,transfer_emb_104,transfer_emb_105,transfer_emb_106,transfer_emb_107,transfer_emb_108,transfer_emb_109,transfer_emb_110,transfer_emb_111,transfer_emb_112,transfer_emb_113,transfer_emb_114,transfer_emb_115,transfer_emb_116,transfer_emb_117,transfer_emb_118,transfer_emb_119,transfer_emb_120,transfer_emb_121,transfer_emb_122,transfer_emb_123,transfer_emb_124,transfer_emb_125,transfer_emb_126,transfer_emb_127
ESFJ songs,ESFJ,-0.13242657,-0.3985066,-0.12588887,-0.19833307,-0.031041266,0.15965885,0.36841002,-0.28304714,0.27205187,0.30994275,0.20388655,0.004373845,-0.18366759,-0.04574949,-0.43692836,0.20236246,-0.22836249,-0.22139233,-0.28545988,-0.19179253,0.07860909,0.18774566,-0.076729886,-0.2718523,0.4107691,0.31346124,0.13521872,0.21938439,0.0779505,-0.13226174,-0.34005982,-0.24664585,0.41472703,0.4909132,0.45202735,0.5127776,0.39674875,0.61032295,0.47041976,0.45094848,0.30032802,0.6516868,0.64801407,0.61215067,0.6647643,0.37763387,0.48407185,0.42418438,0.42056483,0.63234156,0.43191013,0.5109926,0.41279322,0.24335428,0.63009214,0.5735798,0.58115953,0.71642834,0.4797178,0.36616865,0.39123034,0.3351246,0.31719193,0.6907429,-0.912028,-1.2673423,-1.3867387,-1.312492,-0.7538232,-1.619709,-0.58835465,-1.1598896,-0.63571626,-1.9288342,-0.87014985,-1.4078119,-1.7486768,-0.8796839,-1.8570331,-0.6384927,-1.1174928,-1.4486287,-1.5296358,-1.0547769,-0.8225742,-0.38320658,-1.462444,-1.6149377,-0.95752233,-1.572495,-1.2081879,-0.49766165,-1.0118322,-0.9649693,-1.0565592,-1.4337764,0.6641744,1.1556891,0.9327183,1.130387,0.9154745,1.4125342,1.2514518,0.8807182,1.2011143,1.586643,1.4410654,1.3683425,1.2782012,0.80303097,0.33226824,1.0838829,0.75336635,0.8470938,0.7937395,1.4604112,0.87099147,0.6945642,1.425827,1.0187538,1.5502409,1.7500545,0.9957007,1.2621942,0.7705936,0.7795435,0.492689,1.5112864
ESFJ Kpop Songs,ESFJ,-0.12904383,-0.57117033,0.11216247,-0.079957664,0.1389587,-0.34172755,0.71175313,-0.5293172,0.32940066,0.036992993,0.082455866,0.048735306,-0.647012,0.1325647,-0.51181,0.22515869,-0.32036117,0.30197236,-0.08932416,-0.027905926,0.50358486,0.14202625,-0.15842588,-0.21544535,0.56906253,0.44960916,0.47823092,0.07844365,-0.16166547,0.04341566,-0.39556712,0.20469435,0.3281216,0.5269625,0.34616184,0.41123727,0.33751407,0.44909444,0.37445086,0.3207462,0.17450589,0.4335024,0.41205478,0.4788228,0.47765535,0.35568678,0.47495615,0.39256305,0.37918505,0.37368312,0.39326262,0.38717172,0.30849758,0.18057436,0.552482,0.512228,0.4227354,0.71497923,0.35012737,0.3717134,0.43402866,0.4141656,0.2477356,0.5634479,-0.7744954,-1.7597462,-0.48966318,-1.138498,-0.76315343,-1.2762537,-0.114472754,-1.3043675,-0.18881978,-0.5635376,-0.60378903,-1.1711304,-1.7486768,-0.5067952,-1.9708716,-0.60191464,-1.2069384,-0.32345787,-1.0576874,-0.9309006,-0.21482013,-0.35354578,-1.2871765,-1.5896198,-0.60673445,-1.572495,-0.15272509,-0.49766165,-1.5444201,-1.1612126,-1.058024,-1.1099217,0.47646463,0.6984688,0.81442547,0.6461863,0.72020096,0.7815302,1.6303259,0.2811863,0.70256567,1.4084272,1.3488029,1.161848,0.5389431,0.8675333,0.21181725,1.2116145,0.43439367,1.2973112,0.7088493,0.52301717,1.1714045,0.36506405,1.425827,0.7438315,1.5229561,1.7226986,1.2199132,1.0376347,0.47400403,0.8906489,0.112316266,1.8930423
ESFJ,ESFJ,0.004325485,-0.28116336,-0.0895808,-0.29358584,-0.15523727,0.41446453,-0.02884914,-0.11624079,0.30935654,0.938642,0.76749295,0.15044664,0.22093926,-0.05195728,-0.52247757,0.16165139,-0.007883407,-0.77245617,-0.33566666,-0.55581504,-0.27944112,0.14690736,0.25673148,-0.4359844,0.10709298,0.120427184,-0.33570826,0.5168909,0.27225554,-0.39362052,-0.30731657,-0.8358367,0.24960873,0.39056304,0.19830522,0.33895555,0.44393,0.50027484,0.35200602,0.34888035,0.22443433,0.46883044,0.4842193,0.41277763,0.46385685,0.29142398,0.40032047,0.3991656,0.47359386,0.58223164,0.26465854,0.30935353,0.2858621,0.22235237,0.57970345,0.36179185,0.40242472,0.6334784,0.4248489,0.35419124,0.38221753,0.37505576,0.33932748,0.47284415,-0.94511527,-1.2360289,-0.5191824,-1.1704905,-1.2494056,-1.6604913,-0.842519,-1.1543179,-0.74909633,-0.27243236,-0.30466887,-1.7532661,-1.1516255,-0.8173141,-1.709867,-1.0006058,-1.3527089,-2.385342,-1.1199529,-1.2476788,-0.9735882,-0.29638577,-1.04652,-1.2909445,-1.1409409,-1.5103124,-1.3265067,-0.49910495,-1.2570629,-1.0594157,-1.0937808,-1.7654079,0.5710728,0.6026257,0.4895316,0.6866556,1.1522332,1.3118438,0.8989866,0.716623,0.8413515,1.7190418,1.7380865,1.0782936,1.588362,0.604118,0.5846065,1.3164837,0.9942044,0.45419368,0.6869155,0.18000253,0.4287017,0.8902881,1.5465552,0.48904774,1.1889166,1.4817735,0.65466255,1.3826674,1.136605,0.6863331,0.56558996,0.74495655
esfj(1),ESFJ,-0.13704443,-0.4556763,0.075754344,-0.14897396,0.20094606,-0.31918117,0.74842465,-0.3997203,0.37603435,-0.01753767,0.13971448,-0.098636836,-0.58783376,0.004346066,-0.50080353,0.12703717,-0.22378868,0.15218951,-0.13937987,-0.06608678,0.4411181,0.15046968,-0.030465934,-0.22855121,0.55233836,0.300821,0.508075,0.0830076,-0.12975442,0.067746274,-0.3962338,0.112829715,0.37474933,0.5352327,0.426689,0.44541752,0.39169022,0.5391362,0.4514555,0.38726753,0.27473268,0.61189693,0.5354534,0.54224485,0.5714616,0.41012704,0.50678694,0.42955974,0.50475186,0.6031385,0.4070861,0.51534975,0.43648848,0.18747504,0.6208932,0.55172795,0.45037326,0.71317625,0.506171,0.41006982,0.4922751,0.46692836,0.31940722,0.63597715,-1.2653912,-1.7478822,-1.769323,-1.3957199,-1.0724531,-1.5448701,-0.5562457,-1.296334,-0.50583565,-2.3954177,-0.8596679,-2.156574,-1.7169328,-1.6131418,-2.1462553,-1.3741014,-1.3623614,-2.7208784,-1.8006655,-1.3518757,-1.4424498,-0.48163804,-1.6631451,-1.7881684,-0.7122316,-1.7382077,-1.5017574,-0.812733,-1.4808174,-2.095346,-1.2684585,-1.7470534,0.80303717,1.8255333,1.6066847,1.4796692,1.236691,1.5385205,1.904462,1.5074096,1.4422278,1.7334682,1.8927404,1.5152273,2.033665,0.89427686,0.4782497,1.21187,1.8619622,1.1929529,0.7636988,2.008537,1.264735,0.6340387,2.1555238,0.9972276,2.1062872,2.0078232,1.895916,1.5231131,1.0757341,1.464825,0.8446095,2.404396
esfj(2),ESFJ,-0.13704443,-0.4556763,0.075754344,-0.14897396,0.20094606,-0.31918117,0.74842465,-0.3997203,0.37603435,-0.01753767,0.13971448,-0.098636836,-0.58783376,0.004346066,-0.50080353,0.12703717,-0.22378868,0.15218951,-0.13937987,-0.06608678,0.4411181,0.15046968,-0.030465934,-0.22855121,0.55233836,0.300821,0.508075,0.0830076,-0.12975442,0.067746274,-0.3962338,0.112829715,0.37474933,0.5352327,0.426689,0.44541752,0.39169022,0.5391362,0.4514555,0.38726753,0.27473268,0.61189693,0.5354534,0.54224485,0.5714616,0.41012704,0.50678694,0.42955974,0.50475186,0.6031385,0.4070861,0.51534975,0.43648848,0.18747504,0.6208932,0.55172795,0.45037326,0.71317625,0.506171,0.41006982,0.4922751,0.46692836,0.31940722,0.63597715,-1.2653912,-1.7478822,-1.769323,-1.3957199,-1.0724531,-1.5448701,-0.5562457,-1.296334,-0.50583565,-2.3954177,-0.8596679,-2.156574,-1.7169328,-1.6131418,-2.1462553,-1.3741014,-1.3623614,-2.7208784,-1.8006655,-1.3518757,-1.4424498,-0.48163804,-1.6631451,-1.7881684,-0.7122316,-1.7382077,-1.5017574,-0.812733,-1.4808174,-2.095346,-1.2684585,-1.7470534,0.80303717,1.8255333,1.6066847,1.4796692,1.236691,1.5385205,1.904462,1.5074096,1.4422278,1.7334682,1.8927404,1.5152273,2.033665,0.89427686,0.4782497,1.21187,1.8619622,1.1929529,0.7636988,2.008537,1.264735,0.6340387,2.1555238,0.9972276,2.1062872,2.0078232,1.895916,1.5231131,1.0757341,1.464825,0.8446095,2.404396
ESFJ(3),ESFJ,0.051859885,-0.55527526,-0.045407537,-0.06157808,0.15330875,-0.14984787,0.4688242,-0.40509576,0.27034628,0.15859747,0.09956532,-0.3060009,-0.5913534,-0.025772423,-0.1517928,-0.06614428,-0.37269312,-0.09221117,-0.13936603,-0.2904694,0.23347734,0.2957062,0.11399355,-0.11786578,0.33291677,0.28752452,0.12936339,-0.0074356366,0.11717269,-0.050881512,-0.42088154,-0.13777712,0.38807148,0.28169706,0.2715675,0.3826226,0.43479416,0.48342183,0.31245032,0.23063096,0.18924135,0.48262516,0.42545122,0.49560308,0.5325669,0.33488578,0.43409362,0.3452004,0.45816255,0.4000827,0.26935753,0.37841278,0.3262741,0.17563312,0.5316833,0.39913994,0.37967035,0.7042979,0.39363194,0.37858757,0.30777532,0.40479624,0.35592484,0.3906232,-0.73047215,-0.8831185,-0.559983,-1.0536559,-0.59661174,-0.9322984,-0.010670801,-0.6856537,-0.13163358,-0.57473147,-0.5356263,-1.2870338,-1.4211481,-0.6515979,-1.5075691,-0.54604673,-1.3269958,-0.8930615,-0.60229987,-0.88937914,-0.22935437,-0.12866442,-0.6977602,-1.0450839,-0.3980975,-1.0535864,-0.5742654,-0.44135055,-0.41464248,-0.7131523,-1.0636435,-0.86914426,0.5287481,0.049122956,0.41718832,0.54097986,0.9008976,0.88115144,1.1568635,0.16135125,0.5688471,1.4436675,0.8477344,0.8476274,0.42108032,0.4090584,0.38705826,0.682257,0.44959727,0.63859355,0.3701804,0.26979426,0.89532137,0.5267664,1.0688581,0.43642637,0.9638125,1.4320576,0.7852156,0.94115233,0.7123975,0.58122975,0.38332698,0.49775836
ESFJ🎧,ESFJ,0.13258958,-0.4089315,-0.043785762,-0.048886295,0.08001209,-0.11559357,0.3821798,-0.28446347,0.3587941,0.39637896,0.21311897,-0.0647368,-0.32666183,-0.10140389,-0.33491188,-0.05392877,-0.3535788,-0.32376444,-0.23454732,-0.37141156,0.07599958,0.1990043,0.004757964,-0.19878799,0.37051323,0.2530133,0.088780835,0.11134682,0.19782145,-0.050374452,-0.5304516,-0.29650453,0.3293907,0.4363107,0.30741584,0.3717184,0.40635175,0.49929336,0.44709742,0.3650422,0.23622131,0.50525576,0.50679874,0.4484445,0.5088582,0.43860814,0.47663513,0.4311778,0.46153116,0.5713664,0.37769973,0.40742055,0.3532322,0.20827882,0.57313097,0.5281757,0.3884281,0.7434617,0.45553818,0.40127367,0.41294983,0.4875161,0.32603866,0.49941042,-1.0059301,-1.3612562,-1.1282992,-1.1639817,-0.85318005,-1.5358236,-0.71116006,-1.296334,-0.40278196,-1.4659017,-0.7542122,-1.7706627,-1.401316,-1.2522378,-1.7715839,-1.2433268,-1.417282,-2.0135138,-1.7870668,-1.224875,-0.6664232,-0.31320715,-1.4795921,-2.1930034,-0.8839958,-1.3301609,-0.87303394,-0.89333385,-1.1423572,-1.4284066,-1.3730229,-1.2807114,0.87971705,1.3294077,1.0114906,0.7960368,1.022162,1.4655738,2.036987,0.53305066,0.9914802,1.974403,1.5552369,1.0999128,1.1987959,0.7660586,0.6377741,1.9243782,1.1029799,1.254473,1.1048392,1.7948003,0.9652039,0.7257423,1.4092,0.90866226,1.5720613,2.1507788,1.7813646,1.1689105,1.0628327,1.1887964,0.5316836,1.5139818
esfj(4),ESFJ,-0.016375648,-0.3782684,0.017639862,-0.13181596,-0.057335634,0.041109663,0.30218467,-0.24763612,0.33389345,0.46346506,0.44817105,0.19886161,-0.116716534,-0.05277707,-0.49234986,0.16620712,-0.2595853,-0.32684624,-0.26454595,-0.25202274,-0.0032799728,0.13780814,-0.044288173,-0.27023295,0.38507596,0.24693553,0.041899163,0.23910423,0.098602355,-0.074085094,-0.38989392,-0.35967138,0.4002838,0.48279318,0.3836993,0.4905537,0.42043757,0.43993032,0.50406533,0.41252866,0.28749475,0.5480606,0.5495072,0.43334505,0.6212556,0.36449507,0.5420652,0.43629584,0.45786366,0.6920408,0.3396313,0.42288527,0.44696975,0.22944824,0.65952045,0.55016667,0.51231337,0.7370586,0.5920953,0.38892713,0.4619029,0.35883555,0.31130362,0.685137,-0.85462415,-1.2498733,-0.83957374,-1.312492,-0.9984931,-1.2762537,-0.74574983,-0.953056,-0.36258683,-0.7822903,-0.61615366,-1.1711304,-1.7486768,-0.9443909,-1.9202336,-0.7487271,-1.1902857,-1.6926106,-1.5927366,-1.124532,-0.823217,-0.3336917,-1.387191,-1.4372332,-1.0520926,-1.3597169,-0.99425423,-0.49766165,-1.1106819,-0.7164259,-0.94264984,-1.428123,0.71143603,1.1101844,1.1696719,1.0989506,0.6574886,0.8314167,1.4159044,0.5200282,1.581371,1.3067632,1.671108,1.0364631,1.49055,0.65279967,0.40412357,0.90759254,0.6466539,1.077175,0.6801159,1.2422203,1.0612652,0.84127563,1.5941596,0.6542545,1.5502409,1.7226986,1.4138043,1.0020674,0.9025541,0.60604024,0.5493947,1.4399772
ESFJ MIX 2025（╹◡╹）♡,ESFJ,-0.109409355,-0.6199126,0.0023338948,-0.10071369,0.004476427,-0.09101072,0.48576444,-0.39707708,0.34056267,0.16197316,0.20367457,0.03125132,-0.4275387,0.028030885,-0.34599584,0.15016095,-0.44414803,-0.04475255,-0.22798325,-0.07958712,0.2267564,0.21941085,-0.037112568,-0.121469215,0.46676588,0.3273824,0.10042707,0.1051384,0.0061370796,0.0021393758,-0.30959126,-0.12420288,0.3187402,0.46937472,0.31709763,0.41228974,0.37791824,0.43192804,0.4703556,0.37288433,0.22631983,0.48405534,0.4967732,0.4802163,0.5049826,0.39220518,0.46877372,0.36652863,0.47392818,0.49357185,0.27310288,0.40223604,0.3673282,0.22522195,0.4900843,0.42595944,0.36507753,0.6322059,0.3522512,0.367311,0.32745865,0.43449196,0.2477166,0.45786703,-0.82835054,-1.4653695,-1.2514168,-0.9127109,-0.74984837,-1.0085465,-0.5284758,-0.9874484,-0.25290287,-0.5422007,-0.5423581,-1.080986,-1.4969348,-1.3932718,-1.5322881,-0.57532585,-1.2383611,-1.4486287,-0.94387573,-0.92235494,-0.59819883,-0.31846517,-1.2808253,-1.181791,-0.35551366,-1.1823033,-0.8153146,-0.5112418,-0.58322585,-1.0578221,-0.8210568,-1.234172,0.4492315,0.49508888,0.56789494,0.91080827,0.80223805,0.9500021,1.586128,0.6336365,1.0579264,1.2655686,1.3661736,1.2447808,0.70618147,0.7163507,0.44456664,0.9579459,0.8890773,0.6228736,0.40406558,1.376409,0.83754414,0.6835217,1.2756423,0.47607523,1.1042441,1.6144449,0.6804762,0.93126166,0.7705936,1.1082035,0.247511,0.7067967
a playlist of ESFJ,ESFJ,-0.3514565,-0.6032031,-0.26767132,-0.47419605,-0.6611416,0.71957356,-0.17688826,-0.112766765,-0.016529063,0.84342796,0.5958025,-0.16329458,-0.04427609,-0.16946384,-0.4384801,0.45961162,-0.07678025,-0.7572285,-0.485059,-0.33931488,-0.29887724,0.45721346,0.12154359,-0.39864233,0.11414497,0.71692127,-0.53515226,0.7345249,0.21800639,-0.5755641,0.26700273,-0.8693115,0.34062728,0.517505,0.26281375,0.3078279,0.41498893,0.28971738,0.31110963,0.36963454,0.23175094,0.32465285,0.65904117,0.46249008,0.30668107,0.41775638,0.19996354,0.3401173,0.49714214,0.6340987,0.20243713,0.39102304,0.2236607,0.13029519,0.9486764,0.21013695,0.4447158,0.5650872,0.2139837,0.4002254,0.3403141,0.50748134,0.332015,0.28372884,-0.8252118,-1.3596493,-0.8213229,-0.9222026,-1.5523028,0.2420907,-0.5187743,-0.7892201,-0.487695,0.2007197,-0.11485122,-0.57415354,-0.51712006,-0.8371783,-0.7540225,-0.044145264,-0.6767903,-1.7404182,-0.73944956,-0.91142017,-0.56656307,0.20026822,-1.370871,-0.6478977,-0.6087957,-0.3160707,-0.9136601,0.1888707,-0.4188292,-1.0947081,-0.44569802,-1.2456142,0.25345626,0.30628133,-0.07019167,0.016975274,-0.09908973,1.1837338,0.3940865,0.3174112,0.3363588,1.2667327,1.8013245,0.76502293,0.4243415,0.38772547,-0.12454281,0.88703895,0.62509876,0.38484544,-0.20304735,0.48420048,0.13320488,0.62290007,1.7840228,-0.017196389,0.88259965,1.6141764,-0.26885647,1.233429,0.7442731,0.19527808,0.64622754,-0.50415903
esfj(5),ESFJ,0.06838616,-0.2649031,0.2054323,-0.18456505,0.45528665,-0.38047758,0.8379209,-0.26714206,0.5485244,-0.033258002,0.26995662,-0.08937954,-0.4193316,-0.10749657,-0.4122273,-0.114544824,-0.2720296,-0.062936455,-0.15064394,-0.33821493,0.38534814,0.18585268,0.16385847,-0.01204899,0.51394695,-0.19087529,0.6259635,-0.0674124,-0.04696653,0.31286627,-0.62662554,0.14407001,0.32473087,0.5879791,0.46185988,0.33654293,0.4263884,0.55309874,0.3740091,0.37895852,0.28201273,0.568982,0.6018716,0.48163274,0.48148352,0.41023818,0.61752045,0.4410369,0.5237183,0.4144449,0.36703184,0.48357037,0.3771065,0.1865723,0.61215764,0.65066355,0.45366168,0.74013543,0.48936754,0.4529429,0.4606952,0.52797157,0.312005,0.64371914,-0.71357596,-1.6195896,-1.4007859,-1.2357014,-0.47088706,-1.797114,-0.2522804,-1.1662365,-0.1444495,-1.8240123,-0.92886496,-1.373186,-1.3264613,-1.3056438,-2.1600113,-1.0724559,-1.4595956,-1.4553065,-1.7848114,-1.338703,-0.8680447,-0.50323164,-1.5733726,-1.7187251,-0.6479597,-1.7701226,-0.40734345,-0.92277104,-1.1797597,-1.3320642,-1.63541,-1.7332038,0.71846205,1.2165945,1.3186793,0.68886197,1.4720732,1.4248377,1.7069949,0.9639495,1.2112323,1.5377586,1.7112854,1.2567396,1.4285073,0.7063843,0.3318459,1.2318246,1.0365075,0.7303941,0.66203207,1.7345662,1.1087065,0.63213754,1.656288,0.960541,1.7490592,1.440531,1.7925104,1.0905417,0.86933124,1.2731689,0.23996668,1.7556015
ESFJ(6),ESFJ,-0.1261902,-0.4621195,-0.1433359,-0.08387018,-0.11120505,0.12938942,0.3048609,-0.15931906,0.3130729,0.26260665,0.23818979,0.035858598,-0.19505468,-0.15036108,-0.3349474,0.1235775,-0.3865933,-0.4397021,-0.37297806,-0.064582676,-0.014593997,0.2034394,-0.04835124,-0.22995837,0.5161623,0.31918254,-0.04785,0.16125883,0.2187245,-0.059811674,-0.2765768,-0.4298024,0.37035987,0.5272026,0.42821598,0.4736908,0.36949882,0.4592934,0.47221252,0.49324712,0.27511758,0.7275956,0.4177005,0.47022313,0.514936,0.43961743,0.4953471,0.42778987,0.3728221,0.79473263,0.40895125,0.65746117,0.45514578,0.19004488,0.55510855,0.53362906,0.46071935,0.48757225,0.53277963,0.31981093,0.4375679,0.33257347,0.31642884,0.70028013,-1.1852794,-1.3837352,-1.22687,-1.0497404,-0.98524594,-0.7834425,-0.72204286,-0.9601795,-0.2938297,-1.9407454,-0.42063233,-1.3956228,-0.9248412,-1.0701095,-1.7396221,-0.7487271,-1.0182759,-2.7492633,-1.2274373,-0.9419638,-1.068715,-0.27167016,-1.1330866,-1.8578706,-0.47028127,-0.6804033,-1.0793724,-0.28502673,-0.7097403,-0.849021,-0.87589103,-1.9657924,0.4401434,0.5683229,0.9481198,1.1199154,0.7262695,0.90190583,1.0034829,0.65719116,1.1177918,1.7905456,1.1775217,1.3938196,0.9550355,0.5743505,0.42514554,0.90321124,0.24889272,0.6129727,0.5941276,1.8789374,0.72344434,0.4976565,1.0407703,0.7310451,1.3996079,1.0453365,1.1583678,0.86678267,1.2841381,0.56087565,0.54185057,0.95045006
peak esfj behaviour,ESFJ,-0.3628341,-0.5128083,-0.0055510458,-0.2372985,0.009336312,-0.15997735,0.7649897,-0.48489702,0.2658073,-0.17834598,-0.085553326,-0.1355524,-0.6130127,0.038705796,-0.50846934,0.27251455,-0.29051307,0.28126013,-0.16623001,0.13215405,0.4894799,0.24010536,-0.32034284,-0.21057704,0.6385753,0.66271204,0.57942694,0.048962124,-0.2108678,0.07414132,-0.27654973,0.256782,0.42083305,0.6463448,0.4747957,0.5010038,0.464493,0.61636007,0.45326477,0.38094294,0.381299,0.596088,0.43047926,0.6893735,0.53784555,0.41638774,0.52310103,0.46199858,0.54785556,0.42504647,0.47436014,0.48231494,0.37934458,0.25083944,0.6435741,0.6158823,0.5259456,0.71645314,0.44643432,0.3877623,0.4074136,0.4251465,0.32230052,0.659513,-1.5306684,-1.9578553,-1.6077589,-1.429652,-1.3472449,-2.0452423,-0.25290138,-1.2303408,-1.1080253,-2.2920737,-0.8357316,-2.440266,-1.7747511,-1.0414032,-2.2895627,-1.2465758,-1.4353845,-0.97486603,-1.9334679,-0.997254,-0.44164422,-0.6077624,-2.1747892,-2.1818905,-1.0086132,-1.4112965,-1.0713644,-0.76843846,-1.7077116,-1.0624826,-0.94264984,-1.2616858,0.55804247,1.7516086,1.0707488,1.4448891,1.447881,1.6939763,2.1807833,0.634714,1.6531452,1.1778798,1.2608716,1.9274797,1.0266732,0.78278226,0.3526721,1.4834318,1.4440237,1.1788837,1.1872212,1.9714535,1.4212584,0.8514294,1.1250231,1.0277302,1.7801112,2.4809747,1.8164555,1.2293137,0.5625385,1.392988,0.8114667,2.531332
esfj stuff,ESFJ,-0.085452594,-0.38959625,-0.2934288,-0.060289286,-0.18742688,0.457873,-0.008292652,-0.083791114,0.3057873,0.5672616,0.48138154,-0.013700472,0.15355763,-0.19787404,-0.44030765,0.3044008,-0.13363309,-0.72930616,-0.510363,-0.09177672,-0.20789324,0.20927164,0.12738207,-0.34469232,0.25189745,0.29470682,-0.36278462,0.38225323,0.1972243,-0.39349082,-0.16291912,-0.5568831,0.37562183,0.4986536,0.44382346,0.5486302,0.51406264,0.4764306,0.4055873,0.49207264,0.41623726,0.7075411,0.571141,0.4758784,0.64699864,0.4179038,0.45213285,0.45458952,0.51761365,0.874195,0.4175548,0.66679186,0.42905602,0.25803325,0.67829496,0.42662302,0.41623056,0.7213667,0.41759112,0.3532718,0.47586346,0.373921,0.38807318,0.7205104,-0.79241365,-1.3129915,-1.6090136,-1.2100822,-1.2923803,-0.7745182,-0.9129187,-1.1998252,-0.93746644,-1.4290515,-0.6972616,-0.96528655,-1.0369627,-1.3833954,-1.6776379,-0.8114813,-1.2074183,-2.9221175,-1.4122353,-1.2971821,-1.2301021,-0.32713038,-1.106245,-1.0065727,-0.8415562,-1.8520838,-1.296644,-0.3408148,-1.07338,-1.3320642,-1.3210849,-2.1092842,0.674931,0.6493217,0.7408733,1.6891627,1.2599902,1.4248377,0.9226761,1.1703553,1.5794489,1.8558497,1.8864937,1.3420783,1.7914579,0.46966243,0.67130786,1.2318246,0.8870555,0.6993802,0.27289522,1.4632665,0.71687907,0.88527405,2.136216,1.07827,1.1279948,1.7732416,0.5854585,1.2823751,1.3712159,0.77520865,0.6913067,1.0245267
esfj mode 𝜗ৎ,ESFJ,0.018421998,-0.090087675,-0.32188126,0.0023717699,-0.18083683,0.50947285,-0.110802226,0.25424224,0.3578991,0.7393409,0.5778146,0.03393974,0.335559,-0.41891545,-0.3901928,0.07463539,-0.07066681,-1.2343957,-0.61417544,-0.21469112,-0.49651733,0.13065523,0.25998053,-0.4082574,0.25845706,0.1271999,-0.5014069,0.35620967,0.44926235,-0.2644926,-0.25163072,-0.84583205,0.28788048,0.5007282,0.39444467,0.48578316,0.5076232,0.42148614,0.27652144,0.4918751,0.32647178,0.5902424,0.48556927,0.39912918,0.47173873,0.39572224,0.35450548,0.40339914,0.49895027,0.7017474,0.36982295,0.6077025,0.36364058,0.23360267,0.7083702,0.38336957,0.36999434,0.6547953,0.32628244,0.37949723,0.35744417,0.41871437,0.3139154,0.65256894,-0.6654948,-1.1914822,-1.4993525,-1.0513556,-1.1452432,-0.3930141,-0.6991561,-0.75356025,-0.22444898,-0.5808052,-0.64784765,-0.85502183,-0.6957453,-1.3723899,-1.1097264,-0.6841424,-1.292359,-2.5508692,-1.64264,-1.1090771,-1.2001562,-0.33271685,-1.090951,-1.0000771,-0.5585973,-1.4046803,-1.0521166,-0.5375245,-0.31990492,-1.0838215,-0.9626123,-1.7419754,0.6452719,0.9844058,0.2494174,1.2851732,1.0067875,1.3053211,0.7505111,1.3436041,1.0831543,1.5649266,1.6777,0.64452064,1.2969495,0.36692885,0.61454177,0.91012204,0.9061806,0.50114036,-0.10263275,1.2500825,0.3785412,0.64909315,1.8198112,0.44287664,1.3021216,1.1873374,0.14797187,0.9898749,1.2125388,0.7722306,0.3655419,0.8218371
