#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Stressed Out","Twenty One Pilots",170,9A,64,2022-02-11,03:22,88,"","Blurryface",2015-05-15,73,5,0,65,10,0,-6,E Minor,4,3CRDbSIZ4r5MsZ0YwxuEkn,USAT21500597
2,"Nobody","Mitski",117,8B,72,2022-02-11,03:13,76,"","Be the Cowboy",2018-08-17,40,7,0,49,0,0,-5,C Major,4,2P5yIMu2DNeMXTyOANKS6k,USJ5G1815009
3,"Cry Baby","Melanie Martinez",95,4A,69,2022-02-11,03:59,69,"","Cry Baby (Deluxe Edition)",2015-08-14,69,26,0,48,0,10,-5,F Minor,4,052vSBPxqdmYRDlkSPiavc,USAT21501936
4,"Believer","Imagine Dragons",125,3A,78,2022-02-11,03:24,88,"","Evolve",2017-06-23,78,6,0,67,10,0,-4,A#/B♭ Minor,4,0pqnGHJpmpxLKifKRmU6WP,USUM71700626
5,"Can You Feel My Heart","Bring Me The Horizon",171,9A,86,2022-02-11,03:47,81,"metalcore, emo, rock, screamo, post-hardcore","Sempiternal (Expanded Edition)",2013-04-01,15,0,19,35,0,30,-3,E Minor,5,0WSa1sucoNRcEeULlZVQXj,GBARL1202415
6,"Somebody That I Used To Know","Gotye,Kimbra",129,8B,52,2022-02-11,04:04,83,"","Making Mirrors",2011-01-01,87,55,0,75,0,10,-7,C Major,4,1qDrWA6lyx8cLECdZE7TV7,AUZS21100040
7,"Wildest Dreams","Taylor Swift",140,4B,66,2022-02-11,03:40,78,"","1989",2014-01-01,55,7,1,47,0,10,-7,G#/A♭ Major,4,3fVnlF4pGqWI9flVENcT28,USCJY1431379
8,"Spring Day","BTS",107,4B,85,2022-02-11,04:34,77,"k-pop","You Never Walk Alone",2017-02-13,54,1,0,46,0,10,-3,G#/A♭ Major,4,2j1fFjWHCI9KJSwcuYAOyF,KRA381700253
9,"Boys Will Be Bugs","Cavetown",179,3B,53,2022-02-11,05:29,68,"bedroom pop","Animal Kingdom",2019-04-12,49,0,0,45,0,10,-12,C♯/D♭ Major,4,6suYoN4gFkanqOBn5yRnJC,USL4Q1849675
10,"everywhere at the end of swag","SLAUGHTER HOUSE",170,8B,80,2022-02-11,02:08,0,"","everywhere at the end of swag",2021-09-16,46,17,1,32,20,20,-5,C Major,4,1b99kR5d0fMO9HSu9fmrdI,QZMEQ2157760
11,"Runaway","AURORA",114,1B,30,2022-02-11,04:08,59,"norwegian pop, art pop","All My Demons Greeting Me As A Friend (Deluxe)",2016-08-26,42,63,0,12,0,10,-9,B Major,4,4rXsapBjwYiYffFPW7G4zr,GBUM71500527
12,"Another Love","Tom Odell",123,9A,54,2022-02-11,04:04,88,"","Long Way Down (Deluxe)",2013-06-24,45,70,0,13,0,0,-9,E Minor,4,3JvKfv6T31zO0ini8iNItO,GBARL1300107
13,"ばかみたい","冴島大河(小山力也),秋山駿(山寺宏一)",74,6B,59,2022-02-11,04:49,38,"","龍が如く5 夢、叶えし者 オリジナルサウンドトラック (Vol.2)",2012-12-26,52,20,1,34,0,30,-7,A#/B♭ Major,4,4LZTRFPU4MDTzQuopPiW5K,JPR501205980
14,"Speak Now","Taylor Swift",119,9B,60,2022-02-11,04:00,52,"","Speak Now",2010-10-25,71,10,0,74,0,10,-4,G Major,4,7dXKdjpOaH2iwfFKmUj7aq,USCJY1003658
15,"Fire Drill","Melanie Martinez",117,11B,60,2022-02-11,04:15,62,"","Fire Drill",2020-06-26,76,29,0,38,0,0,-8,A Major,4,6TNWeqDnqdqIQWYMWZmzTA,USAT21903453
16,"TT","TWICE",130,10B,85,2022-02-11,03:32,69,"k-pop","Twicecoaster: Lane 1",2016-10-24,71,5,0,40,0,40,-4,D Major,4,60jFaQV7Z4boGC4ob5B5c6,US5TA1600082
17,"Born This Way","Lady Gaga",124,1B,83,2022-02-11,04:20,75,"art pop, pop","Born This Way (International Special Edition Version)",2011-05-23,59,0,0,49,10,30,-5,B Major,4,30XU4suKzCeoCK9YFzdufg,USUM71100638
18,"STAY","BLACKPINK",88,3B,43,2022-02-11,03:50,68,"k-pop","SQUARE TWO",2016-11-01,63,55,0,34,0,10,-7,C♯/D♭ Major,4,3tP6QKbXvtrxiDI7QwKyUf,KRA401600237
19,"all I want is you","Rebzyyx,hoshie star",146,1B,100,2022-02-11,02:31,78,"hyperpop","all I want is you",2021-02-09,46,11,0,78,30,20,-1,B Major,4,7lOvJBqH38ZY59eLU7bioq,QZDA72122180
20,"Faded","Alan Walker",180,2B,63,2022-02-11,03:32,83,"","Different World",2018-12-14,47,3,0,16,0,10,-5,F#/G♭ Major,4,698ItKASDavgwZ3WjaWjtz,NOG841549010
21,"The Archer","Taylor Swift",124,8B,57,2022-02-11,03:31,75,"","Lover",2019-08-23,29,12,1,17,0,0,-9,C Major,4,3pHkh7d0lzM2AldUtz2x37,USUG11901475
22,"Call It What You Want","Taylor Swift",164,11B,50,2022-02-11,03:23,77,"","reputation",2017-11-10,60,19,0,25,0,30,-10,A Major,4,1GwMQaZz6Au3QLDbjbMdme,USCJY1750015
23,"Liability","Lorde",76,3A,23,2022-02-11,02:51,70,"","Melodrama",2017-06-16,59,92,0,38,10,10,-11,A#/B♭ Minor,4,6Kkt27YmFyIFrcX3QXFi2o,NZUM71700064
24,"Pink in the Night","Mitski",103,10B,41,2022-02-11,02:16,65,"","Be the Cowboy",2018-08-17,21,16,0,11,0,30,-10,D Major,4,51vArgRF64yIWk3JIcRITo,USJ5G1815010
25,"Ribs","Lorde",128,12B,47,2022-02-11,04:18,84,"","Pure Heroine",2013-09-27,53,53,61,4,0,10,-9,E Major,4,2MvvoeRt8NcOXWESkxWn3g,NZUM71300122
26,"idontwannabeyouanymore","Billie Eilish",170,9B,41,2022-02-11,03:23,80,"","dont smile at me",2017-12-22,48,74,0,25,0,10,-8,G Major,3,41zXlQxzTi6cGAjpOXyLYH,USUM71707712
27,"Cinnamon Girl","Lana Del Rey",92,11A,34,2022-02-11,05:00,89,"","Norman Fucking Rockwell!",2019-08-30,29,81,41,14,0,10,-11,F#/G♭ Minor,5,2mdEsXPu8ZmkHRRtAdC09e,GBUM71903147
28,"Dark Paradise","Lana Del Rey",120,12A,64,2022-02-11,04:03,54,"","Born To Die (Deluxe Version)",2011-01-01,58,12,0,40,0,10,-8,C♯/D♭ Minor,4,48ae9wfgrP5ArdRpMiBTQo,GBUM71111561
29,"Lemon Boy","Cavetown",140,12B,48,2022-02-11,04:32,63,"bedroom pop","Lemon Boy",2018-01-01,51,19,0,32,0,0,-10,E Major,4,3Yvk0ZLxMlt6ioasvdN6vB,USCGH1805100
30,"The One That Got Away","Katy Perry",134,12A,80,2022-02-11,03:47,52,"pop","Teenage Dream",2010-01-01,69,0,0,88,0,10,-4,C♯/D♭ Minor,4,7BMund57ggk1eCUtiZxu3Z,USCA21001266
31,"Enchanted","Taylor Swift",82,4B,62,2022-02-11,05:52,73,"","Speak Now",2010-10-25,54,7,0,23,0,10,-4,G#/A♭ Major,4,04S1pkp1VaIqjg8zZqknR5,USCJY1003663
32,"Delicate","Taylor Swift",95,8A,40,2022-02-11,03:52,82,"","reputation",2017-11-10,75,22,0,5,0,0,-10,A Minor,4,6NFyWDv5CjfwuzoCkw47Xf,USCJY1750007
33,"ocean eyes","Billie Eilish",145,9A,36,2022-02-11,03:20,81,"","dont smile at me",2017-12-22,51,82,3,17,0,0,-8,E Minor,4,7hDVYcQq6MxkdJGweuCtl9,US23A1500056
34,"Space Song","Beach House",147,5A,79,2022-02-11,05:20,76,"dream pop","Depression Cherry",2015-08-28,51,23,14,61,0,10,-7,C Minor,4,1ZgMsA55GIY7ICkQh5MILA,USSUB1512203
35,"Wolf in Sheep's Clothing","Set It Off,William Beckett",165,10A,91,2022-02-11,03:07,63,"","Duality",2014-10-14,45,0,0,71,0,40,-4,B Minor,4,55Fpeuuc2sbQiy74eA1gTt,ITH711400134
36,"Happiness is a butterfly","Lana Del Rey",70,10B,12,2022-02-11,04:32,75,"","Norman Fucking Rockwell!",2019-08-30,47,97,0,16,0,10,-11,D Major,4,3lG6OtGDsYAOALxEmubQQm,GBUM71903150
37,"unravel","TK from Ling tosite sigure",135,6A,89,2022-02-11,03:58,73,"anime, j-rock, j-pop","Fantastic Magic",2014-08-27,51,5,0,33,0,10,-3,G Minor,4,1rN9QoVxw5U7TJkyaUR8C1,JPU901400608
38,"everything i wanted","Billie Eilish",120,11A,23,2022-02-11,04:05,84,"","everything i wanted",2019-11-13,70,90,66,24,10,10,-14,F#/G♭ Minor,4,3ZCTVFBt2Brf31RLEnCkWJ,USUM71922577
39,"Black Beauty","Lana Del Rey",120,7B,53,2022-02-11,05:14,72,"","Ultraviolence (Deluxe)",2014-01-01,32,27,1,10,0,0,-8,F Major,4,63hHlajVLQnlFMAqSyePxO,GBUM71402114
40,"Blue Jeans","Lana Del Rey",118,5B,84,2022-02-11,03:29,48,"","Born To Die (Deluxe Version)",2011-01-01,56,43,0,50,0,0,-4,D#/E♭ Major,4,4ANim4YPlz5nVInrXdx2xr,GBUM71111620
41,"She","Harry Styles",140,8B,52,2022-02-11,06:02,69,"","Fine Line",2019-12-13,54,0,37,46,0,10,-6,C Major,3,6SQLk9HSNketfgs2AyIiMs,USSM11912592
42,"SLOW DANCING IN THE DARK","Joji",89,5B,48,2022-02-11,03:29,5,"","BALLADS 1",2018-10-26,52,54,1,28,0,10,-7,D#/E♭ Major,4,0rKtyWc8bvkriBthvHKY8d,ZZOPM1800452
43,"This Is Home","Cavetown",130,9B,27,2022-02-11,03:46,72,"bedroom pop","This Is Home",2015-08-03,81,56,0,21,0,10,-12,G Major,4,7s8VgA8OjvwBUuigKzEGBx,TCADM1818849
44,"Euphoria","BTS",105,10B,80,2022-02-11,03:48,75,"k-pop","Love Yourself 結 'Answer'",2018-08-24,64,39,0,57,0,0,-5,D Major,4,5YMXGBD6vcYP7IolemyLtK,QM6MZ1886130
45,"Bored","Billie Eilish",120,9B,32,2022-02-11,03:00,79,"","Bored",2017-03-30,61,90,0,11,0,0,-13,G Major,4,04sN26COy28wTXYj3dMoiZ,USUM71702756
46,"good 4 u","Olivia Rodrigo",167,11B,66,2022-02-11,02:58,85,"","SOUR",2021-05-21,56,34,0,69,10,0,-5,A Major,4,4ZtFanR9U6ndgddUvNcjcG,USUG12101245
47,"Mask","Dream",118,3B,75,2022-02-11,02:54,51,"","Mask",2021-05-21,64,20,0,65,0,10,-4,C♯/D♭ Major,4,3IxMaULfjq4IT2IN6v54PB,QZHN72119462
48,"Feel Better","Penelope Scott",87,9A,34,2022-02-11,04:12,0,"","Public Void",2020-09-25,59,75,1,34,0,10,-13,E Minor,4,6e0vjU61OuUzcqVKPEXHb4,QZK6F2019393
49,"Heather","Conan Gray",102,7B,43,2022-02-11,03:18,85,"","Kid Krow",2020-03-20,36,58,0,27,0,30,-7,F Major,3,4xqrdfXkTW4T0RauPLv3WA,USUM71924264
50,"Black Swan","BTS",147,7A,76,2022-02-11,03:18,75,"k-pop","MAP OF THE SOUL : 7",2020-02-21,72,14,0,49,0,10,-5,D Minor,4,2EmcTFQ1rM11wp2ztsXTHa,QM4TW2013921
51,"the lakes","Taylor Swift",90,10B,26,2022-02-11,03:31,41,"","folklore: the escapism chapter",2020-08-21,51,85,0,29,0,0,-12,D Major,4,65YnIFKuwUCLIqMHAP8TAm,USUG12002851
52,"Working for the Knife","Mitski",83,1B,63,2022-02-11,02:38,0,"","Working for the Knife",2021-10-05,47,17,0,32,0,10,-8,B Major,4,46OaeacE8RjnE49MB5B2Lt,USJ5G2125002
53,"Gone","ROSÉ",80,2B,38,2022-02-11,03:27,67,"k-pop","R",2021-03-12,65,59,0,65,0,0,-6,F#/G♭ Major,4,2dHoVW9AxJVSRebPRyV2aA,KRA402100041
54,"Can't You See Me?","TOMORROW X TOGETHER",140,8A,82,2022-02-11,03:21,60,"k-pop","The Dream Chapter: ETERNITY",2020-05-18,59,6,0,66,0,20,-3,A Minor,4,2ecGP5xUE5126x6yHa7J6E,USUG12001841
55,"Still With You","BUMJIN",130,1B,33,2022-02-11,03:07,14,"k-ballad","Still With You",2021-09-08,43,80,0,28,0,10,-8,B Major,4,0PbdqsWJDJOum2rXsbpYC3,KRF592100073
56,"0X1=LOVESONG (I Know I Love You) feat. Seori","TOMORROW X TOGETHER,Seori",105,8B,84,2022-02-11,03:22,70,"k-pop, ","The Chaos Chapter: FREEZE",2021-05-31,58,6,0,48,0,0,-5,C Major,4,1Z8TPHiKeCUyClxV6WTTIf,USA2P2108442
57,"No Time To Die","Billie Eilish",71,9A,22,2022-02-11,04:02,77,"","No Time To Die",2020-02-13,34,92,1,5,0,0,-13,E Minor,4,73SpzrcaHk0RQPFP73vqVR,USUM72002771
58,"my tears ricochet","Taylor Swift",130,8B,26,2022-02-11,04:15,79,"","folklore",2020-07-24,47,81,0,11,0,0,-11,C Major,4,1MgV7FIyNxIG7WzMRJV5HC,USUG12002839
59,"怪物","YOASOBI",170,3B,82,2022-02-11,03:26,68,"j-pop, anime","怪物",2021-01-06,63,7,0,77,10,30,-3,C♯/D♭ Major,4,06XQvnJb53SUYmlWIhUXUi,JPP302000760
60,"UP NO MORE","TWICE",120,10B,88,2022-02-11,03:34,57,"k-pop","Eyes Wide Open",2020-10-26,71,3,0,71,0,10,-3,D Major,4,1LiNP5q2thWScdvCRkJ584,US5TA2000136
61,"Brain & Heart","Melanie Martinez",194,2A,58,2022-02-11,03:23,55,"","After School EP",2020-09-25,69,13,0,69,10,0,-8,D#/E♭ Minor,4,1rBCRenU7dfot8elMagRpO,USAT22005792
62,"evermore (feat. Bon Iver)","Taylor Swift,Bon Iver",125,3B,27,2022-02-11,05:04,61,"","evermore",2020-12-11,39,94,0,32,0,10,-11,C♯/D♭ Major,5,3O5osWf1rSoKMwe6E9ZaXP,USUG12004719
63,"00:00 (Zero O’Clock)","BTS",158,3B,55,2022-02-11,04:10,70,"k-pop","MAP OF THE SOUL : 7",2020-02-21,56,8,0,20,0,10,-6,C♯/D♭ Major,4,6fqaMyg066xlukvUJWdM2T,QM4TX2001951
64,"Numbers","Melanie Martinez",98,8A,59,2022-02-11,04:39,55,"","After School EP",2020-09-25,48,31,0,44,0,0,-5,A Minor,4,7D0VClhoNONSsdPYWwcTej,USAT22005793
65,"Exist For Love","AURORA",146,11B,36,2022-02-11,04:12,46,"norwegian pop, art pop","Exist For Love",2020-05-14,43,77,0,27,0,0,-10,A Major,4,2DFo342cqI8tJHDmO0p052,GBUM72001694
66,"LILAC","IU",115,7A,89,2022-02-11,03:34,66,"k-pop, k-ballad","IU 5th Album 'LILAC'",2021-03-25,74,9,0,75,0,20,-2,D Minor,4,5xrtzzzikpG3BLbo4q1Yul,KRA382102077
67,"Glued","Melanie Martinez",172,1B,58,2022-02-11,03:12,54,"","After School EP",2020-09-25,59,52,0,58,0,10,-8,B Major,4,2K5vH2WTyDFB6LfkV6505I,USAT22005794
68,"Waiting On A Miracle","Stephanie Beatriz",190,12A,55,2022-02-11,02:41,67,"","Encanto (Original Motion Picture Soundtrack)",2021-11-19,48,17,0,27,0,10,-8,C♯/D♭ Minor,3,3oRW9ZGPRbLRMneQ5lwflt,USWD12112913
69,"Stay Soft","Mitski",105,9B,68,2022-02-11,03:16,56,"","Laurel Hell",2022-02-04,60,4,0,55,0,10,-9,G Major,4,07zVQBJfbOuaAhpT3stRFL,USJ5G2125003
70,"That Funny Feeling","Bo Burnham",76,12B,28,2022-02-11,05:01,0,"comedy","Inside (The Songs)",2021-06-10,55,76,0,39,0,30,-12,E Major,4,7uCq4vBPffjaTMlE8EQzJD,USA2P2122059
71,"Your Sister Was Right","Wilbur Soot",84,10B,28,2022-02-11,02:32,52,"","Your City Gave Me Asthma",2020-06-25,50,93,11,15,0,10,-17,D Major,4,5BNAzE37hmpyCx0hyrgDqJ,QZHN82053462
72,"Celebrity","IU",100,11B,78,2022-02-11,03:15,56,"k-pop, k-ballad","Celebrity",2021-01-27,73,19,0,67,0,10,-3,A Major,4,4RewTiGEGoO7FWNZUmp1f4,KRA382100464
73,"Mixtape : OH","Stray Kids",88,10A,68,2022-02-11,03:32,0,"k-pop, noise music","Mixtape : OH",2021-06-26,75,20,0,63,0,10,-4,B Minor,4,3lYHmpjkm95UbQz76S47xZ,US5TA2100043
74,"space girl","Frances Forever",126,11B,40,2022-02-11,03:51,11,"bedroom pop","space girl",2020-03-27,67,33,0,20,0,30,-10,A Major,4,7FjIYiD53wxlQmzTT6Wdpf,QZFZ72019335
75,"Gimme Love","Joji",127,7B,63,2022-02-11,03:34,0,"","Gimme Love",2020-04-16,48,70,2,7,10,20,-7,F Major,3,2hfoyc7ve6xM4ZEiNIiU1B,ZZOPM2002154
76,"Old Me","5 Seconds of Summer",128,8B,62,2022-02-11,03:06,61,"","CALM",2020-03-27,72,31,0,47,0,20,-4,C Major,4,58qO4dGa5SgNdtvqvpewyz,USUG12000294
77,"Watercolor Eyes - From “Euphoria” An HBO Original Series","Lana Del Rey",120,9B,26,2022-02-11,03:31,63,"","Watercolor Eyes (From “Euphoria” An HBO Original Series)",2022-01-21,44,96,8,12,0,10,-10,G Major,4,1G1R0XgChe18Zr1o6tlmN6,GBUM72200132
78,"Cry Baby","OFFICIAL HIGE DANDISM",200,3B,90,2022-02-11,04:00,61,"j-pop, anime, j-rock","Cry Baby",2021-05-07,32,1,0,44,10,30,-5,C♯/D♭ Major,4,3IDF7N86lrcWaJEt9C1gbS,JPPC02100463
79,"Pain","PinkPantheress",126,3B,62,2022-02-11,01:38,61,"bedroom pop","Pain",2021-06-07,83,23,0,81,10,0,-8,C♯/D♭ Major,4,7CIERzyqIwLVKGp00YbHRO,QZFZ52145391
80,"The Story","Conan Gray",142,8B,30,2022-02-11,04:05,63,"","Kid Krow",2020-03-20,54,82,0,27,0,10,-10,C Major,4,5GVPVxgdgTKJFxSxLVIw1A,USUM71924270
81,"VENT'ANNI","Måneskin",123,9A,64,2022-02-11,04:13,62,"","Teatro d'ira - Vol. I",2021-03-19,64,18,0,22,0,10,-4,E Minor,4,6Vfo6O3hk38vDcSpazNo3p,ITB002000559
