#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Rhinestone Eyes","Gorillaz",93,1A,70,2023-03-27,03:20,78,"","Plastic Beach",2010-03-05,68,9,0,85,0,0,-6,G#/A♭ Minor,4,1foMv2HQwfQ2vntFf9HFeG,GBAYE1000017
2,"Burning Pile","Mother Mother",140,7B,76,2023-03-27,04:22,2,"","O My Heart",2008-09-23,52,6,0,17,0,10,-4,F Major,4,0zMAvsQmaQ4DGsmXtKixpn,CAL450882102
3,"Little Dark Age","MGMT",98,2B,71,2023-03-27,04:59,80,"indie","Little Dark Age",2018-02-09,71,1,0,62,0,10,-6,F#/G♭ Major,4,2Y0iGXY6m6immVb2ktbseM,USSM11707035
4,"I Can't Handle Change","Roar",186,7B,44,2023-03-27,03:18,2,"","I Can't Handle Change",2010-03-14,25,4,0,39,0,10,-8,F Major,3,0I1eFRytp4XRhLCjT6tZm7,USHM81020595
5,"The Bidding","Tally Hall",175,8A,61,2023-03-27,02:40,68,"","Marvin's Marvelous Mechanical Museum",2005-10-24,54,25,0,52,20,10,-5,A Minor,4,0HBrtXJohbIW4IhPZ50GmH,TCAAY1150083
6,"bury a friend","Billie Eilish",120,4B,39,2023-03-27,03:13,75,"","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,91,74,16,20,30,10,-15,G#/A♭ Major,4,4SSnFejRGlZikf02HLewEF,USUM71900770
7,"Sonne","Rammstein",75,9A,92,2023-03-27,04:32,80,"industrial metal, metal, industrial rock, industrial","Mutter",2001-04-02,51,1,0,31,0,40,-5,E Minor,4,3gVhsZtseYtY1fMuyYq06F,DEN120003766
8,"MIDDLE OF THE NIGHT","Elley Duhé",186,9A,61,2023-03-27,03:04,76,"","MIDDLE OF THE NIGHT",2020-01-10,41,2,0,9,0,10,-8,E Minor,3,58HvfVOeJY7lUuCqF0m3ly,USRC11903813
9,"Ancient Dreams in a Modern Land","MARINA",138,3A,79,2023-03-27,03:26,63,"","Ancient Dreams In A Modern Land",2021-06-11,58,2,0,64,0,30,-5,A#/B♭ Minor,4,1R1ihosU2CSEaSw8e5ZF6E,USAT22101355
10,"Who Is She ?","I Monster",153,12A,80,2023-03-27,03:33,71,"","Neveroddoreven",2005-01-27,39,8,1,10,0,0,-4,C♯/D♭ Minor,4,1QxcWlk8PivolUaWcpAoNq,GBDKA0300194
11,"Closer","Nine Inch Nails",90,3A,72,2023-03-27,06:13,76,"industrial rock, industrial, industrial metal, alternative metal, nu metal","The Downward Spiral (Deluxe Edition)",1994-03-08,55,0,67,59,0,10,-9,A#/B♭ Minor,4,5mc6EyF1OIEOhAkD0Gg9Lc,USIR19400529
12,"STREETSX VACATION BIBLE SCHOOL","XXKATUSJINSUX",118,1A,43,2023-03-27,04:25,0,"","STREETSX VACATION BIBLE SCHOOL",2014-03-08,66,28,91,48,10,20,-11,G#/A♭ Minor,4,0GMDtLMLyMtxpqxENLrTZJ,QZPEW2225884
13,"Entropy (2014 Original)","Awkward Marina",107,4B,51,2023-03-27,03:30,55,"","Entropy (2014 Original)",2019-09-02,68,22,0,40,0,10,-14,G#/A♭ Major,4,0TWwZozgRkMjl4n6ONWHhC,QZHN41903989
14,"Skyfall","Adele",76,5A,55,2023-03-27,04:46,86,"soft pop","Skyfall",2012-10-04,35,42,0,8,0,10,-7,C Minor,4,6VObnIkLVruX4UVyxWhlqm,GBBKS1200164
15,"Smells Blood","kensuke ushio",110,9A,60,2023-03-27,01:49,60,"anime","DEVILMAN crybaby (Original Soundtrack)",2018-01-10,64,0,86,16,0,10,-8,E Minor,4,6ZRxnIHvjN0qTVRwz3PLtO,JPE301701466
16,"What Is Logical Meme","SloFevero",110,8B,45,2023-03-27,01:04,0,"vaporwave, city pop","What Is Logical Meme",2020-09-04,84,5,0,73,20,10,-11,C Major,4,1DmbXnyo5XG7jRmXEGktOj,QZK6K2083431
17,"Puttin' on the Ritz","Taco",99,8B,29,2023-03-27,04:41,61,"electro swing","After Eight",1982-01-01,80,15,0,81,0,10,-17,C Major,4,1taGkdO3DQsNRIQrarhVvc,DEK898200020
